Customer ID,Quarter,Revenue Score,Next Quarter,Next Quarter Revenue Score
13085,2009Q4,5,2010Q1,4
13085,2010Q1,4,2010Q2,0
13085,2010Q2,0,2010Q3,0
13085,2010Q3,0,2010Q4,0
13085,2010Q4,0,2011Q1,2
13085,2011Q1,2,2011Q2,0
13085,2011Q2,0,2011Q3,1
13085,2011Q3,1,2011Q4,0
13078,2009Q4,5,2010Q1,5
13078,2010Q1,5,2010Q2,5
13078,2010Q2,5,2010Q3,5
13078,2010Q3,5,2010Q4,5
13078,2010Q4,5,2011Q1,5
13078,2011Q1,5,2011Q2,5
13078,2011Q2,5,2011Q3,5
13078,2011Q3,5,2011Q4,5
15362,2009Q4,2,2010Q1,0
15362,2010Q1,0,2010Q2,0
15362,2010Q2,0,2010Q3,2
15362,2010Q3,2,2010Q4,0
15362,2010Q4,0,2011Q1,0
15362,2011Q1,0,2011Q2,0
15362,2011Q2,0,2011Q3,0
15362,2011Q3,0,2011Q4,0
18102,2009Q4,5,2010Q1,5
18102,2010Q1,5,2010Q2,5
18102,2010Q2,5,2010Q3,5
18102,2010Q3,5,2010Q4,5
18102,2010Q4,5,2011Q1,5
18102,2011Q1,5,2011Q2,5
18102,2011Q2,5,2011Q3,5
18102,2011Q3,5,2011Q4,5
12682,2009Q4,5,2010Q1,5
12682,2010Q1,5,2010Q2,5
12682,2010Q2,5,2010Q3,5
12682,2010Q3,5,2010Q4,5
12682,2010Q4,5,2011Q1,5
12682,2011Q1,5,2011Q2,5
12682,2011Q2,5,2011Q3,5
12682,2011Q3,5,2011Q4,5
18087,2009Q4,4,2010Q1,4
18087,2010Q1,4,2010Q2,2
18087,2010Q2,2,2010Q3,5
18087,2010Q3,5,2010Q4,5
18087,2010Q4,5,2011Q1,5
18087,2011Q1,5,2011Q2,0
18087,2011Q2,0,2011Q3,4
18087,2011Q3,4,2011Q4,0
13635,2009Q4,4,2010Q1,0
13635,2010Q1,0,2010Q2,0
13635,2010Q2,0,2010Q3,5
13635,2010Q3,5,2010Q4,0
13635,2010Q4,0,2011Q1,0
13635,2011Q1,0,2011Q2,0
13635,2011Q2,0,2011Q3,0
13635,2011Q3,0,2011Q4,5
14110,2009Q4,4,2010Q1,4
14110,2010Q1,4,2010Q2,5
14110,2010Q2,5,2010Q3,5
14110,2010Q3,5,2010Q4,0
14110,2010Q4,0,2011Q1,4
14110,2011Q1,4,2011Q2,5
14110,2011Q2,5,2011Q3,5
14110,2011Q3,5,2011Q4,5
12636,2009Q4,1,2010Q1,0
12636,2010Q1,0,2010Q2,0
12636,2010Q2,0,2010Q3,0
12636,2010Q3,0,2010Q4,0
12636,2010Q4,0,2011Q1,0
12636,2011Q1,0,2011Q2,0
12636,2011Q2,0,2011Q3,0
12636,2011Q3,0,2011Q4,0
17519,2009Q4,2,2010Q1,4
17519,2010Q1,4,2010Q2,5
17519,2010Q2,5,2010Q3,4
17519,2010Q3,4,2010Q4,4
17519,2010Q4,4,2011Q1,2
17519,2011Q1,2,2011Q2,3
17519,2011Q2,3,2011Q3,2
17519,2011Q3,2,2011Q4,3
13758,2009Q4,5,2010Q1,5
13758,2010Q1,5,2010Q2,4
13758,2010Q2,4,2010Q3,0
13758,2010Q3,0,2010Q4,5
13758,2010Q4,5,2011Q1,3
13758,2011Q1,3,2011Q2,5
13758,2011Q2,5,2011Q3,0
13758,2011Q3,0,2011Q4,4
12362,2009Q4,1,2010Q1,0
12362,2010Q1,0,2010Q2,0
12362,2010Q2,0,2010Q3,0
12362,2010Q3,0,2010Q4,0
12362,2010Q4,0,2011Q1,3
12362,2011Q1,3,2011Q2,3
12362,2011Q2,3,2011Q3,5
12362,2011Q3,5,2011Q4,5
15413,2009Q4,5,2010Q1,5
15413,2010Q1,5,2010Q2,0
15413,2010Q2,0,2010Q3,0
15413,2010Q3,0,2010Q4,0
15413,2010Q4,0,2011Q1,0
15413,2011Q1,0,2011Q2,0
15413,2011Q2,0,2011Q3,0
15413,2011Q3,0,2011Q4,0
16321,2009Q4,1,2010Q1,1
16321,2010Q1,1,2010Q2,0
16321,2010Q2,0,2010Q3,0
16321,2010Q3,0,2010Q4,0
16321,2010Q4,0,2011Q1,2
16321,2011Q1,2,2011Q2,0
16321,2011Q2,0,2011Q3,1
16321,2011Q3,1,2011Q4,0
16167,2009Q4,3,2010Q1,0
16167,2010Q1,0,2010Q2,3
16167,2010Q2,3,2010Q3,2
16167,2010Q3,2,2010Q4,1
16167,2010Q4,1,2011Q1,0
16167,2011Q1,0,2011Q2,0
16167,2011Q2,0,2011Q3,0
16167,2011Q3,0,2011Q4,0
17865,2009Q4,5,2010Q1,5
17865,2010Q1,5,2010Q2,5
17865,2010Q2,5,2010Q3,5
17865,2010Q3,5,2010Q4,5
17865,2010Q4,5,2011Q1,5
17865,2011Q1,5,2011Q2,5
17865,2011Q2,5,2011Q3,5
17865,2011Q3,5,2011Q4,5
17592,2009Q4,1,2010Q1,0
17592,2010Q1,0,2010Q2,0
17592,2010Q2,0,2010Q3,0
17592,2010Q3,0,2010Q4,0
17592,2010Q4,0,2011Q1,0
17592,2011Q1,0,2011Q2,0
17592,2011Q2,0,2011Q3,0
17592,2011Q3,0,2011Q4,0
13767,2009Q4,5,2010Q1,5
13767,2010Q1,5,2010Q2,5
13767,2010Q2,5,2010Q3,5
13767,2010Q3,5,2010Q4,5
13767,2010Q4,5,2011Q1,5
13767,2011Q1,5,2011Q2,5
13767,2011Q2,5,2011Q3,5
13767,2011Q3,5,2011Q4,5
17238,2009Q4,3,2010Q1,3
17238,2010Q1,3,2010Q2,5
17238,2010Q2,5,2010Q3,4
17238,2010Q3,4,2010Q4,5
17238,2010Q4,5,2011Q1,4
17238,2011Q1,4,2011Q2,3
17238,2011Q2,3,2011Q3,4
17238,2011Q3,4,2011Q4,5
15712,2009Q4,2,2010Q1,4
15712,2010Q1,4,2010Q2,3
15712,2010Q2,3,2010Q3,2
15712,2010Q3,2,2010Q4,4
15712,2010Q4,4,2011Q1,2
15712,2011Q1,2,2011Q2,1
15712,2011Q2,1,2011Q3,3
15712,2011Q3,3,2011Q4,2
15311,2009Q4,5,2010Q1,5
15311,2010Q1,5,2010Q2,5
15311,2010Q2,5,2010Q3,5
15311,2010Q3,5,2010Q4,5
15311,2010Q4,5,2011Q1,5
15311,2011Q1,5,2011Q2,5
15311,2011Q2,5,2011Q3,5
15311,2011Q3,5,2011Q4,5
